ID link,in_mine,in_BauschFluck,in_Town,in_DiazRamos,in_daCunha
O00624,0,0,1,0,1
O00631,0,0,1,0,0
O00755,0,0,1,0,0
O14493,1,1,0,0,1
O14494,1,1,1,1,1
O14495,0,1,1,1,1
O14511,1,1,1,0,1
O14514,1,1,0,0,1
O14520,1,0,1,1,1
O14522,1,1,1,0,0
O14523,0,0,1,0,0
O14524,0,1,1,0,1
O14525,1,1,0,0,1
O14569,0,0,1,0,1
O14581,1,1,0,0,1
O14609,0,0,1,0,1
O14626,1,1,1,0,1
O14638,1,0,1,1,0
O14649,0,0,1,0,1
O14653,0,0,1,0,0
O14662,0,0,1,0,0
O14668,1,0,1,1,1
O14669,1,0,1,0,1
O14672,1,1,1,1,1
O14678,0,0,1,0,0
O14681,0,0,0,0,1
O14683,1,0,1,0,1
O14684,0,0,1,0,1
O14718,1,1,1,0,1
O14735,0,0,1,0,1
O14763,1,0,1,1,1
O14764,1,1,1,0,1
O14786,1,1,1,1,1
O14788,1,1,1,1,1
O14791,0,0,0,0,1
O14798,1,1,0,1,1
O14804,1,1,0,0,1
O14817,1,1,1,0,1
O14828,0,0,1,0,1
O14836,1,1,1,1,1
O14842,1,1,0,0,1
O14843,1,1,0,1,1
O14880,0,0,1,0,0
O14894,1,1,1,0,1
O14917,1,1,1,0,0
O14925,0,0,0,0,1
O14931,1,1,1,1,0
O14944,1,1,1,1,1
O14975,0,0,1,0,0
O15031,1,1,1,0,0
O15079,0,0,1,0,0
O15118,0,1,1,0,0
O15120,0,0,0,0,1
O15121,0,0,1,0,1
O15126,0,0,1,0,1
O15127,0,0,1,0,1
O15146,1,1,1,0,1
O15155,0,0,1,0,0
O15162,1,0,1,1,0
O15165,0,1,1,0,1
O15173,0,0,1,0,1
O15197,1,1,1,1,1
O15218,1,1,0,1,1
O15229,0,0,1,0,1
O15239,0,0,1,0,0
O15243,0,0,1,1,1
O15244,1,1,1,0,1
O15245,1,1,1,0,1
O15247,0,0,1,0,0
O15260,0,0,1,0,0
O15269,0,0,1,0,0
O15270,0,0,1,0,0
O15303,1,1,1,0,1
O15321,0,1,1,0,1
O15342,0,0,1,0,1
O15354,1,1,1,0,1
O15374,1,1,0,0,1
O15375,1,1,1,1,1
O15389,1,1,1,1,1
O15393,1,0,1,0,1
O15394,1,1,1,0,1
O15399,1,1,0,0,1
O15400,0,0,1,0,1
O15403,1,1,0,1,1
O15427,1,0,0,1,1
O15431,1,1,1,1,1
O15432,0,0,1,1,1
O15438,1,1,1,1,1
O15439,0,1,0,1,1
O15440,0,1,0,1,1
O15455,0,1,1,1,1
O15466,0,0,1,0,0
O15482,0,0,1,0,1
O15484,0,0,1,0,0
O15503,0,0,1,0,1
O15520,0,0,1,0,0
O15529,1,1,0,0,1
O15533,0,0,1,0,0
O15547,1,1,1,0,1
O15551,1,1,1,0,1
O15552,1,1,1,1,1
O15554,0,0,1,1,1
O42043,0,1,1,0,0
O43155,1,1,1,0,1
O43157,1,1,1,0,0
O43169,0,0,1,0,0
O43173,0,0,1,0,0
O43184,1,1,1,0,1
O43193,1,1,1,0,1
O43194,1,1,0,0,1
O43246,0,1,1,0,1
O43278,0,0,0,0,1
O43280,1,1,0,0,0
O43286,0,0,1,0,0
O43291,1,1,1,0,1
O43292,0,0,1,0,1
O43300,1,1,1,0,1
O43306,1,1,0,1,1
O43315,1,1,1,1,1
O43424,1,1,1,0,1
O43451,0,0,1,0,1
O43462,0,0,1,0,1
O43464,0,0,1,0,0
O43490,1,1,1,1,1
O43493,1,1,1,0,0
O43497,1,1,1,0,1
O43505,0,0,1,0,0
O43506,1,1,1,0,1
O43508,1,0,1,1,1
O43511,1,1,1,0,1
O43520,0,0,0,0,1
O43525,1,0,1,0,1
O43526,1,0,1,0,1
O43529,0,0,1,0,0
O43556,1,1,1,0,1
O43557,1,0,1,1,1
O43561,1,0,1,0,0
O43567,0,1,1,0,0
O43570,1,1,1,0,1
O43581,0,0,1,0,0
O43586,0,0,1,0,0
O43603,1,1,1,0,1
O43613,1,1,0,0,1
O43614,1,1,0,1,1
O43653,1,1,0,0,0
O43657,1,1,1,0,1
O43674,0,0,1,0,0
O43676,0,0,1,0,0
O43681,0,0,1,0,0
O43688,0,1,0,0,1
O43699,1,1,1,1,1
O43731,0,0,1,0,0
O43736,0,0,1,1,1
O43749,1,1,1,0,1
O43752,0,0,1,1,1
O43759,0,0,0,0,1
O43760,0,0,1,0,1
O43761,0,0,0,0,1
O43772,0,0,1,0,0
O43808,0,0,1,0,1
O43813,0,0,0,1,0
O43825,0,0,1,0,0
O43826,0,1,0,0,1
O43847,0,0,1,0,0
O43861,1,0,1,0,1
O43868,0,1,1,1,1
O43869,1,1,1,0,1
O43889,0,0,1,0,0
O43895,1,1,0,0,0
O43908,1,0,1,1,1
O43909,0,0,1,0,0
O43914,1,0,1,1,1
O43916,0,0,1,0,0
O43921,1,1,0,1,0
O43934,0,1,1,0,1
O60235,1,1,1,0,0
O60238,0,0,1,0,0
O60241,1,1,0,0,1
O60242,1,1,1,0,1
O60243,0,0,1,0,0
O60245,1,1,1,1,1
O60266,0,1,1,1,1
O60279,1,1,1,0,0
O60309,1,1,1,0,1
O60312,0,0,1,0,1
O60313,0,0,1,0,0
O60320,0,0,1,0,0
O60330,1,1,1,0,1
O60337,1,0,0,0,1
O60343,0,0,0,0,1
O60353,1,1,0,0,1
O60359,0,1,1,0,1
O60391,1,1,1,0,1
O60403,1,1,0,0,1
O60404,1,1,1,0,1
O60412,1,1,1,0,1
O60423,0,0,1,0,1
O60427,0,0,1,0,1
O60431,1,1,1,0,1
O60449,1,1,1,1,1
O60462,1,1,1,0,1
O60469,1,1,1,0,1
O60476,0,0,1,0,0
O60478,1,1,0,0,1
O60486,1,1,1,1,1
O60487,1,1,0,0,0
O60488,0,0,1,0,0
O60494,0,0,1,0,0
O60499,0,0,1,0,0
O60500,1,1,1,0,1
O60503,1,1,1,1,1
O60507,0,0,1,0,0
O60512,0,0,1,0,0
O60513,0,0,1,0,0
O60602,1,1,0,1,1
O60603,1,1,1,1,1
O60609,1,1,1,0,0
O60635,1,1,1,1,1
O60636,1,1,1,0,1
O60637,1,1,1,1,1
O60656,0,0,1,0,0
O60667,1,0,1,1,1
O60669,1,1,0,1,1
O60676,0,0,1,0,0
O60687,0,0,1,0,0
O60704,0,0,1,0,0
O60706,1,1,1,0,1
O60721,1,0,1,0,1
O60741,1,0,1,0,1
O60755,1,1,1,0,1
O60774,0,0,1,0,0
O60779,1,1,0,0,1
O60830,0,0,1,0,0
O60831,1,0,0,0,1
O60840,1,0,1,0,1
O60858,0,0,1,0,1
O60883,1,1,1,0,1
O60894,1,0,1,0,1
O60895,1,1,1,0,1
